Ticker,Date,Time,Open,High,Low,Close,Volume,OI
GOOG,20240913,,155.43,158.38,155.21,157.46,29591150,0
GOOG,20240912,,153.8,154.82,152.65,154.69,29695051,0
GOOG,20240911,,149.92,151.5,147.52,151.16,29607689,0
GOOG,20240910,,150.45,151.27,148.34,148.66,31118770,0
GOOG,20240909,,152.51,153.4,147.22,148.71,39260449,0
GOOG,20240906,,157.3,157.83,150.55,150.92,37912129,0
GOOG,20240905,,156.3,159.45,155.98,157.24,18688750,0
GOOG,20240904,,156.66,159,155.96,156.45,19353760,0
GOOG,20240903,,161.72,161.85,156.48,157.36,38925500,0
GOOG,20240830,,162.62,163.66,161.69,163.38,22123811,0
GOOG,20240829,,164.31,165.97,160.25,161.78,19699770,0
GOOG,20240828,,165.04,165.6,161.53,162.85,16407439,0
GOOG,20240827,,165.84,166.44,164.46,164.68,11821940,0
GOOG,20240826,,166.38,167.55,164.46,166.16,14190420,0
GOOG,20240823,,164.72,166.18,163.83,165.62,13955740,0
GOOG,20240822,,167.26,167.59,163.31,163.8,22493279,0
GOOG,20240821,,165.15,166.85,164.67,165.85,22902000,0
GOOG,20240820,,166.9,168.64,166.82,167.18,18341529,0
GOOG,20240819,,165.28,166.69,164.26,166.67,22416189,0
GOOG,20240816,,161.47,165.06,161.13,162.96,24208650,0
GOOG,20240815,,160.5,161.64,159.61,161.3,31524250,0
GOOG,20240814,,162.4,163.22,157.71,160.37,40591129,0
GOOG,20240813,,163.41,164.73,162.97,164.16,18551689,0
GOOG,20240812,,164.35,164.9,161.84,162.29,15895290,0
GOOG,20240809,,160.01,163.79,159.06,163.67,28602289,0
GOOG,20240808,,160.51,163.69,160.21,162.03,25578840,0
GOOG,20240807,,161.25,162.98,158.47,158.94,25138570,0
GOOG,20240806,,159.33,160.57,156.41,158.29,49004559,0
GOOG,20240805,,155.5,164.43,154.93,159.25,53630672,0
GOOG,20240802,,166.44,168.51,164.67,166.66,29130100,0
GOOG,20240801,,170.25,174.05,168.88,170.76,24531391,0
GOOG,20240731,,173.24,174.25,170.01,171.54,25729090,0
GOOG,20240730,,170.24,171.23,168.44,170.29,18959689,0
GOOG,20240729,,168.83,170.43,167.99,169.53,20293820,0
GOOG,20240726,,167.15,168.09,164.06,167,41336887,0
GOOG,20240725,,172.52,173.42,167.19,167.28,44851969,0
GOOG,20240724,,173.6,176.19,171.82,172.63,49585199,0
GOOG,20240723,,182.05,183.61,181.54,181.79,36352711,0
GOOG,20240722,,180.59,182.7,180.23,181.67,24100350,0
GOOG,20240719,,178.88,180.29,177.13,177.66,18881891,0
GOOG,20240718,,181.93,182.5,176.47,177.69,25315730,0
GOOG,20240717,,182.97,183.55,179.9,181.02,20734070,0
GOOG,20240716,,187.36,188.68,183.37,183.92,18290721,0
GOOG,20240715,,184.92,188.24,184.92,186.53,16474039,0
GOOG,20240712,,185.08,187.11,184.49,185.07,22898410,0
GOOG,20240711,,189.85,190.86,185.08,185.57,25625779,0
GOOG,20240710,,189.15,191.75,189.03,191.18,15952450,0
GOOG,20240709,,190.31,191.36,188.72,188.98,15141310,0
GOOG,20240708,,189.9,190.17,187.78,189.03,21035891,0
GOOG,20240705,,185.86,190.86,185.8,190.6,20967449,0
GOOG,20240703,,184.85,186.09,184,185.82,10242130,0
GOOG,20240702,,182.05,185.57,181.56,185.24,17372490,0
GOOG,20240701,,183.03,183.88,181.3,182.99,16006130,0
GOOG,20240628,,184.32,185.13,181.96,182.15,29156641,0
GOOG,20240627,,184.18,186.05,184.02,185.41,18848881,0
GOOG,20240626,,182.63,184.51,182.48,183.88,19838971,0
GOOG,20240625,,179.62,184.29,179.42,184.03,23235590,0
GOOG,20240624,,180.16,180.89,178.67,179.22,18298010,0
GOOG,20240621,,177,180.85,176.61,179.63,58582738,0
GOOG,20240620,,175.37,177.29,174.99,176.3,20160090,0
GOOG,20240618,,177.14,177.39,174.1,175.09,21869859,0
GOOG,20240617,,175.46,178.36,174.81,177.24,19618500,0
GOOG,20240614,,174.22,177.06,174.15,176.79,18063561,0
GOOG,20240613,,176.11,176.74,174.88,175.16,20913301,0
GOOG,20240612,,178.25,180.41,176.11,177.79,27864740,0
GOOG,20240611,,176.22,176.84,173.77,176.62,21540580,0
GOOG,20240610,,174.97,177.06,172.76,175.01,23779221,0
GOOG,20240607,,177.05,177.87,174.3,174.46,19661400,0
GOOG,20240606,,175.9,177.15,175.75,176.73,23251010,0
GOOG,20240605,,175.2,176.65,173.93,175.41,22068520,0
GOOG,20240604,,173.28,173.85,171.89,173.79,26879600,0
GOOG,20240603,,172.54,174.53,171.16,173.17,27459119,0
GOOG,20240531,,171.86,173.06,169.44,172.5,37638879,0
GOOG,20240530,,175.2,175.22,171.79,172.11,22958680,0
GOOG,20240529,,175.43,176.84,174.72,175.9,23388689,0
GOOG,20240528,,174.45,177.27,174.37,176.4,20572160,0
GOOG,20240524,,174.98,175.77,173.65,174.99,16579439,0
GOOG,20240523,,177.07,178.25,172.95,173.55,21024939,0
GOOG,20240522,,176.64,177.15,175.21,176.38,17880039,0
GOOG,20240521,,176.9,178.15,175.81,177.85,16989369,0
GOOG,20240520,,176.19,178.77,176.08,176.92,22554400,0
GOOG,20240517,,174.18,176.27,173.69,176.06,24479260,0
GOOG,20240516,,173.29,175.12,172.69,174.18,27867949,0
GOOG,20240515,,170.63,172.65,170.51,172.51,26948369,0
GOOG,20240514,,169.77,171.25,168.8,170.34,25127141,0
GOOG,20240513,,164.26,169.28,164,169.14,31327600,0
GOOG,20240510,,168.03,169.85,166.19,168.65,29799930,0
GOOG,20240509,,169.39,170.69,168.18,169.96,15346700,0
GOOG,20240508,,169,170.15,168.74,169.38,19569150,0
GOOG,20240507,,168.5,171.76,168.39,171.25,28039699,0
GOOG,20240506,,167.46,168.14,166.03,168.1,21871279,0
GOOG,20240503,,167.56,167.96,163.05,167.24,34662434,0
GOOG,20240502,,164.79,166.73,163.89,166.62,24294551,0
GOOG,20240501,,164.3,167.12,163.09,163.86,33493148,0
GOOG,20240430,,165.61,168.1,162.6,162.78,33562859,0
GOOG,20240429,,169.06,169.55,165.21,166.15,45610020,0
GOOG,20240426,,174.37,174.71,169.65,171.95,64665301,0
GOOG,20240425,,151.33,156.49,150.87,156,57109727,0
GOOG,20240424,,157.49,159.57,157.17,159.13,22779109,0
GOOG,20240423,,156.96,158.97,156.28,158.26,21151570,0
GOOG,20240422,,154.31,157.64,154.06,156.28,26446211,0
GOOG,20240419,,156.2,156.36,152.3,154.09,32615641,0
GOOG,20240418,,155.34,156.94,154.62,156.01,19883039,0
GOOG,20240417,,155.62,157.08,154.58,155.47,21763131,0
GOOG,20240416,,154.19,155.65,153.43,154.4,20779500,0
GOOG,20240415,,158.86,159.24,154.59,154.86,27136471,0
GOOG,20240412,,157.96,160.22,157.14,157.73,25353750,0
GOOG,20240411,,156.91,159.68,156.46,159.41,27166430,0
GOOG,20240410,,156.21,156.61,154.68,156.14,22838631,0
GOOG,20240409,,156.09,158.56,155.19,156.6,31113010,0
GOOG,20240408,,152.78,155.27,152.61,154.85,20701971,0
GOOG,20240405,,150.03,153.42,149.6,152.5,23459250,0
GOOG,20240404,,153.5,154.77,150.45,150.53,34724738,0
GOOG,20240403,,153.6,155.08,152.73,154.92,24704990,0
GOOG,20240402,,153.5,154.7,152.15,154.56,24585990,0
GOOG,20240401,,150.69,155.74,150.61,155.49,31730850,0
GOOG,20240328,,150.85,151.43,150.17,150.93,24485391,0
GOOG,20240327,,151.18,151.64,148.9,150.87,22879180,0
GOOG,20240326,,150.22,152.26,149.98,150.67,22149141,0
GOOG,20240325,,149.94,150.38,147.82,150.07,19229289,0
GOOG,20240322,,149.12,151.58,148.98,150.77,29211770,0
GOOG,20240321,,149.47,150.37,146.9,147.6,24755600,0
GOOG,20240320,,148,148.86,146.74,148.74,21311500,0
GOOG,20240319,,148.16,148.79,146.08,147.03,24070439,0
GOOG,20240318,,148.61,152.15,147.17,147.68,69273695,0
GOOG,20240315,,142.5,143.18,140.03,141.18,49475422,0
GOOG,20240314,,141.19,143.59,140.46,143.1,42753391,0
GOOG,20240313,,139,141.09,138.99,139.79,23347211,0
