Ticker,Date,Time,Open,High,Low,Close,Volume,OI
MSFT,20240913,,425.83,431.83,425.46,430.59,15874560,0
MSFT,20240912,,423.31,427.37,419.75,427,17418760,0
MSFT,20240911,,415.5,423.99,409.58,423.04,19266920,0
MSFT,20240910,,408.2,416.33,407.7,414.2,19594289,0
MSFT,20240909,,407.24,408.65,402.15,405.72,15295130,0
MSFT,20240906,,409.06,410.65,400.8,401.7,19609529,0
MSFT,20240905,,407.62,413.1,406.13,408.39,14195520,0
MSFT,20240904,,405.91,411.24,404.37,408.9,15135810,0
MSFT,20240903,,417.91,419.88,407.03,409.44,20294500,0
MSFT,20240830,,415.6,417.49,412.13,417.14,24308320,0
MSFT,20240829,,414.94,422.05,410.6,413.12,17045240,0
MSFT,20240828,,414.88,415,407.31,410.6,14882660,0
MSFT,20240827,,412.86,414.36,410.25,413.84,13492910,0
MSFT,20240826,,416.37,417.28,411.34,413.49,13152830,0
MSFT,20240823,,416.98,419.26,412.09,416.79,18493779,0
MSFT,20240822,,424.36,426.79,414.61,415.55,19361900,0
MSFT,20240821,,424.08,426.4,421.72,424.14,16067300,0
MSFT,20240820,,421.7,425.86,421.64,424.8,16387580,0
MSFT,20240819,,418.96,421.75,416.46,421.53,15233960,0
MSFT,20240816,,420.6,421.34,417.3,418.47,22775590,0
MSFT,20240815,,419.8,421.11,417.66,421.03,20752141,0
MSFT,20240814,,414.8,417.72,412.45,416.86,18266980,0
MSFT,20240813,,409.59,414.95,409.57,414.01,19414270,0
MSFT,20240812,,407.06,408.76,404.24,406.81,16762881,0
MSFT,20240809,,404.03,408.05,402.26,406.02,19276670,0
MSFT,20240808,,402.44,405.86,399.94,402.69,20203029,0
MSFT,20240807,,408.64,410.08,397.47,398.43,20650910,0
MSFT,20240806,,400,405.67,398.5,399.61,24946529,0
MSFT,20240805,,389.17,401.04,385.58,395.15,40709238,0
MSFT,20240802,,412.49,415,404.34,408.49,29437900,0
MSFT,20240801,,420.79,427.46,413.09,417.11,30296400,0
MSFT,20240731,,420.5,421.78,412.21,418.35,42891367,0
MSFT,20240730,,427.72,429.05,417.36,422.92,32687580,0
MSFT,20240729,,431.58,432.15,424.7,426.73,15125840,0
MSFT,20240726,,418.2,428.92,417.27,425.27,23583840,0
MSFT,20240725,,428.8,429.8,417.51,418.4,29943801,0
MSFT,20240724,,440.45,441.48,427.59,428.9,26805801,0
MSFT,20240723,,443.9,448.39,443.1,444.85,13107050,0
MSFT,20240722,,441.79,444.6,438.91,442.94,15808760,0
